#please cite:
#1.Zhou KR, Liu S, Cai L, Bin L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000062	hsa-let-7a-5p	ENSG00000156876	SASS6	protein_coding	chr1	100550424	100550429	100550424	100550431	-	1	0	AGO2	1	0	1	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000137992	DBT	protein_coding	chr1	100676164	100676169	100676164	100676169	-	1	0	AGO2	0	0	1	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000134215	VAV3	protein_coding	chr1	108114399	108114404	108114398	108114426	-	5	0	AGO1-4,AGO2	1	0	0	1	0	1	1	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000085491	SLC25A24	protein_coding	chr1	108677913	108677919	108677912	108677931	-	16	1	AGO1-4,AGO2	1	0	1	0	1	1	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000162639	HENMT1	protein_coding	chr1	109191342	109191364	109191342	109191364	-	3	0	AGO1-4,AGO2	0	0	0	0	1	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000085433	WDR47	protein_coding	chr1	109513320	109513325	109513320	109513325	-	1	0	AGO1-4	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000134243	SORT1	protein_coding	chr1	109856616	109856621	109856616	109856621	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000198758	EPS8L3	protein_coding	chr1	110292789	110292794	110292788	110292806	-	1	0	AGO2	1	0	0	0	1	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000168679	SLC16A4	protein_coding	chr1	110919694	110919722	110919694	110919722	-	2	0	AGO1-4	0	0	0	1	0	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000007341	ST7L	protein_coding	chr1	113068552	113068572	113068552	113068572	-	1	0	AGO2	0	0	0	0	1	0	0	1
MIMAT0000062	hsa-let-7a-5p	ENSG00000134242	PTPN22	protein_coding	chr1	114362035	114362041	114362034	114362057	-	1	0	AGO2	0	0	1	0	1	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000197323	TRIM33	protein_coding	chr1	114937075	114937080	114937074	114937082	-	10	0	AGO1-4,AGO2	1	0	0	0	0	1	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000213281	NRAS	protein_coding	chr1	115248118	115248123	115248117	115248145	-	15	0	AGO1-4,AGO2	0	0	1	1	0	1	1	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000213281	NRAS	protein_coding	chr1	115250523	115250529	115250522	115250550	-	18	0	AGO1,AGO1-4,AGO2	1	0	1	1	1	1	1	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000052723	SIKE1	protein_coding	chr1	115314128	115314133	115314128	115314133	-	6	0	AGO1-4	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000134259	NGF	protein_coding	chr1	115828631	115828637	115828630	115828658	-	3	0	AGO1-4,AGO2	1	0	1	1	1	0	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000143061	IGSF3	protein_coding	chr1	117118758	117118764	117118757	117118778	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000196505	GDAP2	protein_coding	chr1	118412164	118412170	118412163	118412191	-	1	0	AGO2	1	0	1	1	0	0	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000196505	GDAP2	protein_coding	chr1	118412338	118412344	118412337	118412365	-	1	0	AGO2	1	0	1	1	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000116874	WARS2	protein_coding	chr1	119574344	119574350	119574343	119574371	-	3	0	AGO1-4,AGO2	1	0	1	1	1	0	1	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000116874	WARS2	protein_coding	chr1	119588230	119588258	119588230	119588258	-	5	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000143067	ZNF697	protein_coding	chr1	120162846	120162851	120162846	120162851	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000143067	ZNF697	protein_coding	chr1	120163088	120163094	120163087	120163106	-	7	0	AGO1-4,AGO2	1	0	1	0	1	1	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000134250	NOTCH2	protein_coding	chr1	120454621	120454626	120454621	120454626	-	3	0	AGO1-4	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000178104	PDE4DIP	protein_coding	chr1	144868095	144868104	144868079	144868117	-	6	3	AGO1,AGO1-4,AGO2	0	2	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000131791	PRKAB2	protein_coding	chr1	146627936	146627941	146627936	146627941	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000131791	PRKAB2	protein_coding	chr1	146629570	146629576	146629570	146629576	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	1	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000203836	NBPF24	protein_coding	chr1	147599537	147599557	147599537	147599557	-	9	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0
MIMAT0000062	hsa-let-7a-5p	ENSG00000203832	NBPF20	protein_coding	chr1	148347014	148347034	148347014	148347034	-	12	0	AGO1-4,AGO2	0	1	0	0	0	0	0	0
MIMAT0000062	hsa-let-7a-5p	ENSG00000143401	ANP32E	protein_coding	chr1	150192119	150192124	150192118	150192146	-	25	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000143401	ANP32E	protein_coding	chr1	150202953	150202981	150202953	150202981	-	35	1	AGO1,AGO1-4,AGO2,AGO3,AGO4	0	0	0	1	0	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000117362	APH1A	protein_coding	chr1	150238797	150238804	150238796	150238817	-	8	0	AGO1-4,AGO2	1	0	0	0	1	0	0	1
MIMAT0000062	hsa-let-7a-5p	ENSG00000143420	ENSA	protein_coding	chr1	150596990	150596996	150596990	150596996	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000143418	CERS2	protein_coding	chr1	150938073	150938079	150938073	150938079	-	20	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000197622	CDC42SE1	protein_coding	chr1	151023744	151023749	151023744	151023749	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000197622	CDC42SE1	protein_coding	chr1	151025382	151025388	151025382	151025388	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	1	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000163155	LYSMD1	protein_coding	chr1	151132287	151132292	151132286	151132307	-	4	0	AGO1-4,AGO2	1	0	0	0	1	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000143390	RFX5	protein_coding	chr1	151313670	151313676	151313669	151313690	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000143442	POGZ	protein_coding	chr1	151376906	151376911	151376905	151376933	-	16	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	1	1	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000143442	POGZ	protein_coding	chr1	151431756	151431775	151431756	151431775	-	7	0	AGO1,AGO2	0	1	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000143365	RORC	protein_coding	chr1	151779536	151779541	151779535	151779563	-	1	0	AGO2	1	0	0	1	0	1	1	0
MIMAT0000062	hsa-let-7a-5p	ENSG00000159445	THEM4	protein_coding	chr1	151846104	151846109	151846104	151846111	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000159445	THEM4	protein_coding	chr1	151846580	151846585	151846579	151846607	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000188643	S100A16	protein_coding	chr1	153579830	153579835	153579830	153579835	-	9	0	AGO1-4	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000143614	GATAD2B	protein_coding	chr1	153782383	153782388	153782383	153782388	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	1
MIMAT0000062	hsa-let-7a-5p	ENSG00000143612	C1orf43	protein_coding	chr1	154180018	154180040	154180018	154180040	-	23	0	AGO1,AGO1-4,AGO2,AGO3	0	0	0	0	1	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000160710	ADAR	protein_coding	chr1	154555954	154555959	154555954	154555959	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000163348	PYGO2	protein_coding	chr1	154930297	154930302	154930296	154930324	-	9	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	1	1	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000160691	SHC1	protein_coding	chr1	154940181	154940199	154940181	154940199	-	10	0	AGO1,AGO1-4,AGO2	0	1	0	0	0	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000160767	FAM189B	protein_coding	chr1	155217430	155217436	155217429	155217450	-	13	0	AGO1-4,AGO2	1	0	0	0	1	0	0	10
MIMAT0000062	hsa-let-7a-5p	ENSG00000116539	ASH1L	protein_coding	chr1	155306841	155306847	155306840	155306863	-	2	0	AGO1-4,AGO2	1	0	0	0	1	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000116539	ASH1L	protein_coding	chr1	155448880	155448886	155448880	155448886	-	16	0	AGO1-4,AGO2	0	0	0	0	0	0	1	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000160803	UBQLN4	protein_coding	chr1	156006496	156006502	156006495	156006515	-	2	0	AGO1-4,AGO2	1	0	0	0	1	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000254726	MEX3A	protein_coding	chr1	156045877	156045882	156045877	156045882	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000254726	MEX3A	protein_coding	chr1	156046115	156046120	156046114	156046120	-	17	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	1	1	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000116604	MEF2D	protein_coding	chr1	156435158	156435164	156435158	156435164	-	1	0	AGO2	1	0	0	0	0	1	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000116604	MEF2D	protein_coding	chr1	156436207	156436213	156436207	156436213	-	13	0	AGO1-4,AGO2	1	0	0	0	0	1	1	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000183856	IQGAP3	protein_coding	chr1	156496241	156496246	156496241	156496246	-	1	0	AGO2	1	0	0	0	0	0	0	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000117036	ETV3	protein_coding	chr1	157091014	157091019	157091013	157091041	-	8	0	AGO1-4,AGO2	0	0	1	1	0	0	1	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000117036	ETV3	protein_coding	chr1	157092551	157092556	157092550	157092578	-	1	0	AGO1	0	0	1	1	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000132693	CRP	protein_coding	chr1	159683286	159683291	159683286	159683291	-	1	0	AGO1-4	1	0	0	0	0	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000132716	DCAF8	protein_coding	chr1	160186248	160186254	160186247	160186268	-	2	1	AGO1,AGO2	1	0	1	0	1	0	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000132716	DCAF8	protein_coding	chr1	160186640	160186645	160186640	160186647	-	2	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000162739	SLAMF6	protein_coding	chr1	160455641	160455647	160455640	160455660	-	1	0	AGO1-4	1	0	0	0	1	1	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000158769	F11R	protein_coding	chr1	160967177	160967182	160967177	160967182	-	1	0	AGO1-4	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000143217	NECTIN4	protein_coding	chr1	161042312	161042317	161042312	161042317	-	2	0	AGO1-4	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000152382	TADA1	protein_coding	chr1	166826319	166826324	166826319	166826324	-	3	0	AGO1-4	1	0	0	0	0	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000000457	SCYL3	protein_coding	chr1	169822791	169822796	169822790	169822818	-	1	0	AGO1-4	1	0	0	1	1	1	1	2
